epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,327.573,0.65103,0.62831,1.01875,0.96035,0.93306,0.97565,0.88206,0.45961,0.43657,0.86118,0.00128798,0.00128798,0.00128798
3,483.87,0.63251,0.58564,1.01256,0.94234,0.87405,0.94149,0.83022,0.51368,0.49528,0.89259,0.00186669,0.00186669,0.00186669
4,638.789,0.61971,0.55426,1.00607,0.96031,0.95662,0.98107,0.90306,0.4039,0.36619,0.84213,0.001802,0.001802,0.001802
5,796.416,0.58599,0.5169,0.99395,0.97275,0.95737,0.9869,0.92341,0.37399,0.31959,0.82372,0.001736,0.001736,0.001736
6,949.548,0.56334,0.49428,0.98424,0.96878,0.93429,0.97439,0.90533,0.40078,0.3606,0.83909,0.00167,0.00167,0.00167
7,1103.95,0.54957,0.47891,0.97739,0.96476,0.96279,0.9856,0.92803,0.34891,0.29898,0.82574,0.001604,0.001604,0.001604
8,1260.31,0.53397,0.45552,0.96909,0.97251,0.96578,0.98942,0.93314,0.35175,0.28674,0.81981,0.001538,0.001538,0.001538
9,1416,0.52479,0.45719,0.96641,0.97587,0.95755,0.98607,0.93447,0.34066,0.28607,0.8165,0.001472,0.001472,0.001472
10,1570.79,0.51871,0.44367,0.96464,0.98234,0.97345,0.99179,0.94392,0.32186,0.25208,0.7961,0.001406,0.001406,0.001406
11,1724.92,0.51284,0.43642,0.96125,0.98199,0.97008,0.99091,0.9474,0.31637,0.24819,0.80432,0.00134,0.00134,0.00134
12,1881.72,0.50004,0.42633,0.95751,0.98099,0.9684,0.99168,0.94594,0.31174,0.25209,0.80354,0.001274,0.001274,0.001274
13,2035.81,0.4963,0.41914,0.95621,0.98359,0.97529,0.99252,0.95459,0.28596,0.23603,0.79125,0.001208,0.001208,0.001208
14,2195.46,0.48969,0.41353,0.95329,0.98365,0.97588,0.99243,0.9511,0.29214,0.23541,0.79667,0.001142,0.001142,0.001142
15,2350.36,0.48361,0.40636,0.94964,0.98435,0.97775,0.99313,0.95363,0.30509,0.23063,0.796,0.001076,0.001076,0.001076
16,2503.09,0.47673,0.40251,0.94757,0.98576,0.9742,0.99359,0.95545,0.29005,0.22387,0.79504,0.00101,0.00101,0.00101
